K,0_1,3_1,4_1,5_1,5_2,6_1,6_2,6_3,3_1#3_1,3_1#3_1*,7_1,7_2,7_3,7_4,7_5,7_6,7_7,3_1#4_1,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8,8_9,8_10,8_11,8_12,8_13,8_14,8_15,8_16,8_17,8_18,8_19,8_20,8_21,3_1#5_1,3_1*#5_1,3_1#5_2,3_1*#5_2,4_1#4_1,9_1,9_2,9_3,9_4,9_5,9_6,9_7,9_8,9_9,9_10,9_11,9_12,9_13,9_14,9_15,9_17,9_18,9_19,9_20,9_21,9_23,9_26,9_27,9_31,3_1#6_1,3_1*#6_1,3_1#6_2,3_1*#6_2,3_1#6_3,4_1#5_1,4_1#5_2,3_1#3_1#3_1,3_1#3_1*#3_1*,10_1,10_2,10_3,10_4,10_5,10_6,10_7,10_8,10_9,10_10,10_11,10_12,10_13,10_14,10_15,10_16,10_17,10_18,10_19,10_20,10_21,10_22,10_23,10_24,10_25,10_26,10_27,10_28,10_29,10_30,10_31,10_32,10_33,10_34,10_35,10_36,10_37,10_38,10_39,10_40,10_41,10_42,10_43,10_44,10_45,3_1#7_1,3_1*#7_1,3_1#7_2,3_1*#7_2,3_1#7_3,3_1*#7_3,3_1#7_4,3_1*#7_4,3_1#7_5,3_1*#7_5,3_1#7_6,3_1*#7_6,3_1#7_7,3_1*#7_7,4_1#6_1,4_1#6_2,4_1#6_3,5_1#5_1,5_1#5_1*,5_1#5_2,3_1#3_1#4_1,3_1#3_1*#4_1
9_17,2,2,1,2~3,2~3,2,1,2~3,2~3,2~3,2~4,2~3,3~4,2~3,2~3,2,1,2,2~3,2,2~3,2,3,2,2~3,2~3,2,2~4,2,2,2,2,1~4,2,1~3,1~3,4,2~3,1~2,2~4,1~4,1~3,1~3,2,3~5,2~3,4~5,2~4,2~4,2~4,2~3,2,2~4,3~4,3,2~3,3~4,2,2,0,2~4,1,2,2~3,2~4,2,2,2~3,2~3,2~3,1~2,1~2,1~3,2~3,2,2~4,2~4,2~3,2~3,2~4,2~3,3,2~3,2~3,2,2~3,2,2~3,2~4,2~3,2~3,2~4,2~3,2~3,2,2,2~3,2~3,2~3,2~3,2~3,2~3,2,2~3,2~3,2,2,2~3,2~3,2~3,2~3,2,2,2~4,2,2,2~3,2,2,2~3,2,2,3~5,1~5,1~3,1~3,2~4,4,1~4,3~4,2~4,2~4,1~3,1~3,1~2,2,2,2,2,3~5,2~5,2~4,1~3,1~3
9_17*,2,2,1,3,2~3,2,2,2~3,3,2~3,4,2~3,2~4,2~3,3,2,2,2,2~3,3,2~3,2,1~2,2~3,2~3,2~3,2,2~4,2~3,2,2,2,3~4,2,1~2,1~3,2~4,2~3,2~3,4,2~4,3,1~3,2,5,2~3,2~5,3~4,2~4,4,3,2,4,2~4,2~3,2~3,2~4,2~3,2,2,3~4,2,3,2~3,3~4,2,2,2~3,2~3,2~3,3,1~3,2~3,3,2,4,2~4,2~3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_18,2,2,2~3,2,1,2~3,2~3,2~3,2~3,2~3,2,1,4,3~4,1,2,2~3,2~3,2~3,2~3,2~4,2~4,4,2~3,3,2~3,2~3,3~4,2,2~4,2,2,2,1~2,2~3,2~3,5,2,1~3,1~3,1~3,2,2,2~4,2,1,5,2,3~4,1,2,2~3,2,4~5,4,2,4~5,2~3,3~4,2~4,0,2~3,2,3,2,3,2~3,2,2~3,3~4,2~3,2~4,2~3,2~3,2,2~4,3~4,2~3,2~3,2~4,2~4,4,2~3,2,2~4,3,2~3,2~4,3~4,2~4,2,3,3~4,2~3,2~3,2~3,2~3,2,2~4,3,2,2,2~3,3,2~4,2~4,2,2~3,2~3,2~3,2~3,2~4,2,2,2,2,3~4,2~3,2~3,2~3,2~3,2~4,2~3,2~3,2,2,3~4,5,2~4,4~5,2,2,2~3,2~3,2~3,3~4,2~4,1~4,2~4,2~4,2~4,1~3,2~4,2~4
9_18*,2,3,2~3,4,3,2~3,3,2~3,4,2~3,5,3,1,2,4,3,2~3,3~4,2~3,4,2~4,3~4,2~4,3~4,2~3,2,2~3,1~2,3,2~4,2~3,3,4,3~4,2~3,2~3,1~3,2~3,3,5,3~4,4,2~3,2~4,6,3,1,4,2,5,4,3~4,5,2,2,3,2,2,2,3~4,4,2~3,4,2,4,2,2~3,3~4,3~4,2~3,4,2~3,3~4,4~5,3~4,5,2~4,2~3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_19,1,2,1,2~3,2,1,2,2,2~3,2~3,3~4,2,2~3,2~3,2~3,2,1,2,2,2~3,2,2,2~3,2,2,2~3,2,2~3,2,2,2,2,2~3,2,1~2,1~3,3~4,1~2,2,3~4,2~4,2~3,1~3,2,4~5,2,3~4,2~3,2~3,3~4,2~3,2,3~4,2~4,2~3,2,2~4,1,2,1,2~3,0,2~3,2,2~3,2,2,2~3,2,2,2~3,1~3,2~3,2~3,2,3~4,2~4,2,3~4,2~3,2~3,2~3,2~3,2,2~3,2,2,2~3,2~3,2,2~3,2~3,2~3,2,2,2,2~3,2~3,2~3,2,2~3,2~3,2,2,2~3,2,2,2,2,2,2~3,2,2,2~3,2,2~3,2~3,2,2,2~3,2,2,4~5,2~5,2~3,1~3,1~4,3~4,2~4,2~4,3~4,2~4,2~3,1~3,2,2,1~2,2,2,4~5,2~5,3~4,2~3,1~3
9_19*,1,2,1,2~3,2,2,2,2,2~3,2~3,3~4,2,2~3,2~3,2~3,2,2,2,2,2~3,2,2,2~3,2~3,2,2~3,2,2~3,2,2,2,2,2~3,2,1~2,1~3,3~4,1~2,2,3~4,2~4,2~3,1~3,2,4~5,2,3~4,2~3,2~3,3~4,2~3,2,3~4,2~4,2~3,2,2~4,2,2,2,2~3,2,2~3,2,2~3,2,2,2~3,2~3,2~3,2~3,1~3,2~3,2~3,2,3~4,2~4,2,3~4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_20,2,1,2,2,1,2,1,2,2,2,2,2,4,3~4,1,1,2~3,2,2~3,2,2~3,2,4,2,3,2,2,3,2,2~3,2,2,2,1~2,2,2,5,2,1~2,1~3,1~3,2,2,2~3,2~3,2,5,2~3,3~4,2,1,2,2,4~5,4,1,4~5,2~3,3,2,2,2~3,0,3,2,3,2,2,2,3,2,2,2,2~3,2,2~3,3,2~3,2~3,2~4,2~3,4,2~3,2~3,2,3,2~3,2~3,3,2~3,2,3,3~4,2~3,2~3,2,2,2,2~3,3,2,2,2~3,3,2~3,2,2,2,2,2~3,2,2~3,2,2,2,2,3,2,2,2,2,2,2~3,2~3,2,2~3,3,5,2~3,4~5,2,2,2,2,2,3~4,2~3,1~2,2~3,2~4,2~4,1~3,2~3,2~3
9_20*,2,3,2,4,3,2~3,3,2,4,2,5,3,2,2,4,3,2,3,2~3,4,2~3,3,2,3~4,2,2,2,1~2,3,2~3,2~3,3,4,3,2,2,1~3,2~3,3,5,3,4,2,2~3,6,3,2~3,4,2,5,4,3,5,2~3,2,3,2,2,2,3,4,2~3,4,2,4,2,2,3,3~4,2,4,2,3,4,3,5,2~3,2~3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_21,1,2,2,3,2,2,2,2,3,2,4,2,2,1,3,2,2,2~3,2,3,2~3,2~3,1~3,2~3,2,2,2,1~2,2,2~3,2,2,3,2~3,1~2,1~2,2~3,1~2,2,4,2~3,3,1~2,2~3,5,2,2~3,3,1,4,3,2~3,4,2,1,2,2,2,2,2~3,3,2,3,0,3,2,2,2~3,2~3,2,3,2,2~3,3~4,2~3,4,2~3,2,4,2~3,2~3,2,3~4,2,3,2,2,2~4,2~3,2~3,3,2~3,2~3,2,2,2~3,2~3,3,2~3,2,2~3,3,2,2,2,2~3,2,2,2,2,2,2~3,2~3,2,2~3,3,2,2~3,2,2,2,2~3,5,3~4,3,2,2~3,2~3,2,2,4,2~3,3,1~2,2~3,2,2~3,2~3,2~3,5,2~4,4,3~4,1~3
9_21*,1,1,2,2,1,2,2,2,2,2,2~3,2,3,2~3,2,1,2,1~2,2,2,2~3,2~3,3,2,2,2,2,2~3,2,2~3,2,2,1~2,1~2,1~2,1~2,4,1~2,1~2,2~3,2~3,2,1~2,2~3,3~4,2,4,2,2~3,2~3,2,2,2~3,3~4,3,2,3~4,2,2~3,2~3,2,2,2,2,2,2,2,2,2,2~3,1~2,2~3,1~2,2~3,1~2,2~3,2~3,2,2~3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_23,2,2,2~3,1,1,2~3,2~3,2~3,2~3,2~3,2,2,4,3~4,1,2,2~3,2~3,2~3,2,2~4,2~4,4,2~3,3,2~3,2~3,3~4,2,2~4,2,2,2,1~2,2~3,2~3,5,2,2~3,2,2,2,2,2~4,2,2~3,5,2~3,3~4,1,2,2~3,2,4~5,4,2~3,4~5,2~3,3~4,2~4,2,2~3,2,3,0,3,2~3,2,1~3,3~4,2~3,2~4,2~3,1~2,1~2,2~4,3~4,2~3,2,2~4,2~4,4,2,2~3,2~3,3,2~3,2~4,3~4,2~4,2,3,3~4,2~3,2~3,2~3,2~3,2,2~4,3,2,2,2~3,3,2~4,2~4,2,2~3,2~3,2~3,2~3,2~4,2,2,2,2,3~4,2~3,2~3,2~3,2~3,2~4,2~3,2~3,2~3,2~3,3~4,5,2~4,4~5,2,2,2~3,2~3,1~3,3~4,2~4,1~4,2~4,2~3,2~3,1~2,1~4,2~4
9_23*,2,3,2~3,4,3,2~3,3,2~3,4,2~3,5,3,2,2,4,3,2~3,3~4,2~3,4,2~4,3~4,2~4,3~4,2,2,2~3,1~2,3,2~4,2~3,3,4,3~4,2~3,2~3,2,2~3,3,5,3~4,4,2~3,2~4,6,3,2~3,4,2,5,4,3~4,5,2~3,2,3,2,2,2,3~4,4,2~3,4,2,4,2,2~3,3~4,3~4,1~3,4,2~3,3~4,4~5,3~4,5,2~4,2~3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_26,1,2,2,3,2,2,2,2,3,2,4,2,2,2,3,2,1,2~3,2,3,2~3,2~3,1~2,2~3,2,2,2,1~2,2,2~3,2,2,3,2~3,1~2,1~2,2,1~2,2,4,2~3,3,1~2,2~3,5,2,2~3,3,2,4,3,2~3,4,2~3,2,2,2,1,2,2,3,2,3,2,3,0,2,2~3,2~3,2,3,2,2~3,3~4,2~3,4,2~3,2,4,2~3,2~3,2,3~4,2,3,2,2,2~4,2,2~3,3,2,2~3,2,2,2~3,2~3,3,2,2,2~3,3,2,2,2,2~3,2,2,2,2,2,2~3,2~3,2,2~3,3,2,2~3,2,2,2,2,5,3~4,3,2,1~3,2~3,2~3,2~3,4,2~3,3,2,2,2,2~3,2~3,1~3,5,2~3,4,3~4,1~3
9_26*,1,1,2,1,1,2,1,2,2,2,2,2,3,2~3,2,2,2,1~2,2,2,2~3,2,3,2,2,2,2,2~3,2,2~3,2,2,1~2,1~2,1~2,1~2,4,1~2,1~2,2,2,2,1~2,2~3,3,2,4,2~3,2~3,2,2,2,2~3,3~4,3,2,3~4,2,2~3,2,2,2,2,2,2,2,2,2,2,2~3,1~2,2,2,2,1~2,2~3,2~3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_27,1,1,1,2,2,2,2,1,2,2,3,2,2~3,2~3,2,1,2,2,2,2,2~3,2,2,2,2,2,2,1~2,2,2,2,2,2~3,2,1~2,1~2,3~4,1~2,1~2,3,1~3,2,2~3,2,4,2,3~4,2~3,2~3,3,2,1,3,2~4,2~3,2,2~4,2,2,2,2~3,2,2,2,2~3,2,0,2,2,2~3,2,1~3,1~2,2~3,2,3,2~3,2,3,2~3,2~3,2~3,2~3,2,2~3,2,2,2~3,2~3,2~3,2,2,2~3,2,2,2,2,2~3,2,2,2~3,2,2,2,2,2~3,2,2,2,2,2,2,2,2~3,2~3,2~3,2,2,2,2,2,2,4,2~4,2,1~3,2~3,3~4,2~3,2~4,3,1~3,2,1~2,2,2~3,1~2,1~2,2,4,2~4,3,2~3,1~3
9_27*,1,2,1,2~3,2,2,1,1,2~3,2,3~4,2,2~3,2,2~3,2,2,2,2,2,2~3,2,2~3,2,2,2,2,1~2,2,2,2,2,2~3,2,1~2,1~2,3,1~2,1~2,3~4,1~3,2~3,2,2,4~5,2,3~4,2~3,2~3,3~4,2~3,2,3~4,2~3,2,2,2~3,2,2,2,2~3,2,2,2,2~3,2,2,2,2~3,2,2,1~2,1~2,2~3,2,3~4,2~3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_31,2,1,2~3,1,1,2~3,2,1,2,2,2,2,3~4,2~3,2,2,2~3,1~2,2~3,2,2~4,2~3,3~4,2,2,2,2~3,2,2,2~4,2,2,1~2,1~2,1~2,1~2,4,2,1~3,2,1~2,2,2,1~4,3,2~3,4~5,2~3,2~4,2,2,2,2~3,3~4,3~4,2~3,3~4,2~3,2~4,2~3,2,2~3,2,2~3,2,2~3,2,0,2,2~3,1~2,1~3,2,1~2,1~2,2~3,2~3,2~3,2,2~4,2~4,3,2,2~3,2~3,2~3,2~3,2~3,2~3,2~4,2,2,2~4,2~3,2~3,2,2,2,2~4,2~3,2,2,2~3,2~3,2,2~3,2,2,2,2~3,2,2~4,2,2,2,2,2,2~3,2,2,2,2~3,3,2~3,1~2,1~3,2~3,4,2~3,3~4,2~3,2~3,2,1~3,2,2~3,1~4,1~3,2,3,1~3,2,1~3,1~3
9_31*,2,2,2~3,3,2~3,2~3,2~3,1,3,2,4,2~3,2,2,3,2~3,2,2~3,2~3,3,2~4,2~4,2~3,2~3,2,2,2~3,1~2,2~3,2~4,2,2~3,3~4,2,1~2,1~2,2,2,2~3,4,2~3,3,2,1~4,5,2~3,2~3,3~4,2,4,3,2~3,4,2~3,2,2~3,2,2,2,2~3,3~4,2~3,3,2,3~4,2,2,2,2~3,2,3,1~2,2,3~4,2~4,4,2~3,2~3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_1#6_1,2,1,2,2,2,1,2,2,1~2,1~2,2~3,2~3,3~4,2~4,2,2,1~3,1,2,2,2,2~3,3~4,2,2~3,2,2~3,2~3,1~2,2,2~3,2,1~3,2,2,1~2,4~5,1~3,1~3,2~3,2~3,1~2,1~3,2~3,3~4,2~3,4~5,1~4,2~4,2~3,2,2,2~3,3~5,3~4,2,3~5,2~3,2~3,2~3,2~3,2,2,2~3,1~3,2~3,2,2,0,2,1,1~3,1~2,2~3,2~3,2~3,2~3,2~3,2~3,2~3,1~3,3~4,2~3,2~3,2~3,2~3,2~3,2~3,2~3,2,1~2,2~3,2~3,2~3,2~3,1~2,2,1~3,2~4,2~3,2~3,2,2~3,2~3,2~3,1~2,2~3,1~2,1~2,2,2,2~3,1~2,2~3,2,2~3,2~3,2,2,2,2,2,3~4,1~4,1~2,1~4,2~3,4~5,2~3,3~5,2~3,2~3,1~2,1~3,1~2,2~4,2,2~3,2~3,3~4,2~4,2~3,1~2,1~2
3_1*#6_1,2,2~3,2,3~4,2~3,1,2,2,3~4,1~2,4~5,2~3,2~3,1~2,3~4,2~3,1~2,2~3,2,3,2,2~3,1~3,2,2,2,2~3,1~3,2,2,2~3,2~3,3~4,2~3,2,1~2,2~3,1~3,2~3,4~5,2~3,3~4,1~2,2~3,5~6,2~3,2~4,3~4,2~3,4~5,3~4,2~3,4~5,1~3,1~3,2,2~3,2,2~3,2~3,3~4,2,3,2,3~4,2,2~3,2~3,2,0,3,1,2~3,3~4,2~3,4~5,1~3,2~3,4,2~3,2~3,1~2,3,2~3,3,1~2,2~3,2~3,2~3,2,3~4,2~3,2~3,2~3,2~3,2~3,2~3,3,2~3,2~3,2~3,3,2~3,2,2~3,2,2~3,1~3,1~3,2,2~3,2~3,2~3,2~3,2,3,1~2,2,2,2,2~3,2,5~6,3~4,3~4,1~2,2~4,2~3,2~3,2~3,4~5,2~3,3~4,1~2,2~3,1~2,2,2~3,2~3,5~6,2~4,4~5,3~4,1~2
3_1#6_1*,2,1,2,2,2,1~2,2,2,1~2,1~2,2~3,2~3,3~4,2~4,2,2,1~3,1,2~3,2,2,2,3,2,2~3,2,2~3,2~3,1~3,2,2~3,2,1~3,2,2,1~2,4~5,1~3,1~3,2~3,2~3,1~2,1~3,2~3,3~4,2~3,4~5,1~4,2~4,2~3,2,2,2~3,3~5,3~4,2~3,3~5,2,2~3,2~3,2~3,2~3,2,2~3,1~3,2~3,2,2,1,2~3,1~2,1~3,1~2,2~3,2~3,2~3,2~3,2~3,2~3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_1*#6_1*,2,2~3,2,3~4,2~3,1~2,2~3,2,3~4,1~2,4~5,2~3,2~3,1~2,3~4,2~3,1~2,2~3,2~3,3~4,2,2,1~3,2~3,2,2,2~3,1~3,2~3,2,2~3,2~3,3~4,2~3,2,1~2,2~3,1~3,2~3,4~5,2~3,3~4,1~2,2~3,5~6,2~3,2~4,3~4,2~3,4~5,3~4,2,4~5,1~3,1~3,2~3,2~3,2,2~3,2~3,3~4,2~3,3~4,2,3~4,2,2~3,2~3,2~3,1~2,3~4,1~2,2~3,3~4,2~3,4~5,1~3,2~3,4~5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_1#6_2,2,1,2,1~2,1~2,2,1,2,1,2,1~3,1~3,4,3~4,2,1~2,2~3,1,2~3,2,2~3,1~2,4,1~2,3,2,2,3,2,2~3,2~3,2,1~2,2,2,2,5,2~3,1~2,2,2~3,1~2,2~3,2~3,2~4,2~3,5,1~4,3~4,2~3,2,2,2~3,4~5,4,2~3,4~5,2~3,3,1~2,2~3,2~3,2,3,2~3,3,2,1~2,1,3,0,2,2,2~3,2~3,1~2,3,2~3,1~3,2~4,2~3,4,2~3,1~3,2,3,2~3,1~3,3,2~3,1~2,3,3~4,2~3,2~3,2,2,2~3,2~3,3,1~3,2,2~3,3,2~3,2,2,2,2,2~3,2,2~3,2,2~3,1~2,1~2,3,1~2,2,2,1~2,2,2~3,1~4,1~2,2~4,3,5,2~3,4~5,1~2,1~3,1~2,2~3,1~2,3~4,2~3,2,2~3,2~3,2~4,2~3,1~2,2
3_1#6_2*,2,1,2,2,2,2~3,1~2,2,2,1,3,1~3,2~4,1~3,2,2,1~3,1,2~3,2,1~3,2~3,2,2,2~3,1~2,2,1~2,2~3,1~3,1~3,1~2,2~3,1~2,1~2,1~2,3~4,1~2,1~3,3,2~3,2,1~3,2~3,4,2~3,3~5,2~4,2~4,3,2,1~2,3,2~4,2~4,2~3,2~4,1~3,1~3,1~3,2~3,1~3,2,2~3,2~3,2,1~2,1~2,1~2,1~3,2,1~3,2,2~3,1~3,3,1~2,1~3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_1*#6_2,2,1~2,2,2~3,2~3,2,1,2,2~3,1~2,3~4,1~3,2~3,1~2,2~3,2~3,1~2,1~3,2~3,2,1~3,2,2~3,2,2,1~2,2,1~3,2,1~3,1~3,1~2,2~4,1~3,1~2,1~2,3,1~3,1~2,3~4,2~3,2~3,1~2,2~3,4~5,2~3,3~4,2~4,2~3,3~4,2~3,1~3,3~4,2~3,2~3,2~3,2~3,1~2,1~3,1~2,2~4,1~3,2,2,2~4,2,1~3,1~3,1~3,1,2,0,2~3,2~4,1~3,3~4,1~3,1~3,3,1~4,2~3,2,2~3,2~3,2,2,2~3,2~3,2~3,2~3,2~3,2~3,2~4,1~3,2~3,2,1~3,2~3,1~3,2~3,1~3,2~3,2~3,2,2~3,2,1~2,1~3,1~3,2~3,1~3,1~3,2~3,2~3,2,2,1~2,2,2,2,2~3,2,4~5,2~4,2~3,1~2,1~4,3,2~3,2~3,3~4,1~3,2~3,1~2,1~3,1~2,2~3,2,1~3,4~5,2~4,3~4,2~4,1~2
3_1*#6_2*,2,3,2,4,3,2~3,3,2,4,2,5,3,1~3,1~2,4,3,2,3,2~3,4,2~3,3,1~2,3~4,1~2,2,2,1~3,3,2~3,2~3,3,4,3,2,2,1~2,2~3,3,5,3,4,2,2~3,6,3,1~4,4,1~3,5,4,3,5,1~3,1~3,3,2~3,2,1~3,3,4,2~3,4,1~2,4,1~2,2,3,3~4,1~2,4,2,3,4,3,5,1~2,2~3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_1#6_3,2,1,2~3,2,2,2~3,2,1,1,1,2~3,2~3,3~4,2~3,1~2,2,2~3,2,1~3,1~2,2~4,2~3,3~4,1~2,2,2,1~3,2,2~3,2~4,2,2,2,1~2,2,2,4,1~2,2,2,2~3,2,2~3,2~4,3~4,2~3,4~5,2~4,2~4,2~3,1~2,2,2~3,3~4,3~4,1~3,3~4,2~3,2~4,1~3,2~3,2~3,2,2~3,2~3,2~3,1~2,2,1~2,2~3,2,2~3,0,2~3,2~3,2,2,2~3,2~3,2~4,2~4,3,2~3,1~3,1~3,2~3,2~3,1~3,2~3,2~4,2,2,2~4,2~3,1~3,1~2,2,2~3,1~4,2~3,2~3,2,1~3,2~3,2,2~3,2~3,2,1~2,1~3,2,1~4,1~2,2~3,2~3,2~3,2,2~3,2,2,1~2,2~3,3,2~4,2,2~3,2~3,4,2,3~4,2,2~3,2,2~3,2,2~3,2~4,1~3,2,3,2~3,2~3,2,2
3_1*#6_3,2,2,2~3,3,2~3,2~3,2~3,1,3,1~2,4,2~3,1~3,2,3,2~3,2,2~3,1~3,3,2~4,2~4,2,2~3,1~2,2,1~3,1~2,2~3,2~4,2,2~3,3~4,2,2,2,2,1~2,2~3,4,2~3,3,2,2~4,5,2~3,2~4,3~4,1~3,4,3,2~3,4,2~3,2~3,2~3,2~3,2,1~3,2~3,3~4,2~3,3,1~2,3~4,2,1~2,2,2~3,1~2,3,2,2,3~4,2~4,4,1~2,2~3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_1#5_1,2~3,2,2,1,2,2~3,2~3,2~3,2~3,2~3,2,2~3,4~5,3~5,2,2~3,2~3,1~3,2~4,2,2~4,2~3,4,2~3,3~4,2~3,2~4,3~4,2~3,2~3,2~3,2~3,2,1~3,2~3,2~3,5~6,2~3,1~4,1~2,1~2,2~3,2~3,2~3,2~3,1~4,5~6,2~3,3~5,2,2~3,2~3,2~3,4~6,4,1~4,4~6,2~4,3,2~3,2~3,2~3,2~3,3~4,1~2,3~4,2~3,1~2,2~3,3~4,2~3,2~4,2~3,0,1,2~4,3~4,2~4,2,2~5,2~4,4~5,2,2~4,2~3,3~4,2~3,2~4,3~4,2~4,2,3~4,3~4,2~3,1~3,2~3,1~3,1~3,2~4,3~4,1~3,1~3,2~3,3~4,2~4,2~4,2~3,2~3,2~3,2~4,2~3,2~3,2~3,2~3,2~3,2~3,3~4,2~3,2~3,2~3,2~3,2~3,2~3,2~3,2~3,2~4,3~4,5~6,2~4,4~6,2~3,2~3,2~3,2~4,2~3,3~4,2~3,1~3,2~3,2~3,2~3,1~2,1~4,2~4
4_1#5_1*,2~3,3~4,2,4~5,3~4,2~3,3,2~3,4~5,2~3,5~6,3~4,2,1~3,4~5,3,2~3,3,2~4,4,2~4,3,2~4,3~4,2,2~3,2~4,2,3~4,2~3,2~3,3,4~5,3,2~3,2~3,2,2~4,3~4,5~6,3~4,4~5,2~3,2~3,6~7,3~4,2~3,4~5,2~3,5~6,4~5,3,5~6,2~3,2,3~4,2,2~3,2~3,3,4~5,2~3,4,2~3,4~5,2,2~3,3~4,3~4,2~3,4,2~3,3~4,4,3,5~6,2~4,2~4,5,2~5,3~4,2,4~5,3~4,4,2~3,2~3,3~4,2,2~4,4,2,2~4,2~3,3,3,3~5,4~5,2~4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_1#5_2,2,1~2,1,1~2,1,2,2,1~3,2~3,2~3,2~3,2,3~4,2~4,2,2,2,1~2,1~3,2~3,1~3,2,3,1~3,2~3,2~3,2~3,2~4,1~2,2,2,2,1~2,1~2,1~3,1~3,4~5,2,1~3,2~3,1~3,2,2,1~2,3~4,1~3,4~5,2~3,2~4,2~3,2~3,2,2~3,3~5,3,1~3,3~5,2~3,2,2,2,2,2,2~3,1~2,2~3,2,1~2,2~3,2~3,2~3,1~3,2~3,1,0,2~4,2~4,1~3,2~3,2~4,1~3,3~4,1~3,1~3,2~3,2~3,1~2,1~3,2~4,2~3,1~3,2~3,2~3,2~3,1~2,2,1~3,1~2,2~3,2~3,1~2,1~3,2,2~3,2~3,1~3,1~2,2~3,2~3,1~3,2~3,2,2,2,2,2,2~4,2,2,1~3,2,2,3~4,2~4,2~3,1~3,2~4,4~5,2~4,3~5,2~3,2~3,1~3,2~3,2~3,2~3,1~2,1~2,2,3~4,1~4,2~3,1~3,1~3
4_1#5_2*,2,2~3,1,3~4,2~3,2,2,1~3,3~4,2~3,4~5,2~3,2,1~2,3~4,2,2,2,1~3,3,1~3,2,2~3,2~3,1~3,2,2~3,1~2,2~3,2,2,2,3~4,2,1~3,1~3,2~3,2~3,2~3,4~5,2~4,3~4,2~3,1~2,5~6,2~3,2~3,3~4,1~2,4~5,3~4,2,4~5,2~3,2,2~3,1~3,2,2,2,3~4,2,3,1~2,3~4,1~2,2,2~4,2~3,2~3,3,1~3,2~4,3,2,4~5,1~4,1~3,4,2~4,2~3,2~3,3~4,2~3,3,2~3,1~2,2~3,1~3,2~3,3,1~3,1~3,2~3,2,2,2~4,3~4,2~3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_1#3_1#3_1,3,2,3~4,2~3,2~3,3~4,2~3,3,1,3,2~4,2~4,5,4~5,2~3,2~3,3~4,2~3,3~4,2~3,3~5,2~4,5,2~3,4,3,3~4,4,2~4,3~5,3~4,2~3,1~2,2~3,3,3,6,3~4,2,2,2~4,1~2,3~4,3~5,2~5,2~4,6,2~5,4~5,2~4,2~3,2~3,2~4,5~6,5,2~4,5~6,3~4,4~5,2~4,2~4,3~4,2~3,4,2~4,4,3,2~3,2~3,4~5,1~2,3~4,2,2~4,2~4,0,4,3~4,2~4,3~5,2~5,5,2~4,2~4,2~4,4,3~4,2~4,4,3~5,2~3,4,4~5,3~4,2~4,2~3,2~3,2~4,3~5,4,2~4,2~3,3~4,4,3~4,2~4,2~4,3,3,3~4,3,3~5,2~3,3~4,2~4,2~4,4,2~4,3~4,3,2~3,3~4,1~3,1~5,1~3,3~5,4,6,3~4,5~6,2,2~4,1~2,3~4,2~3,4~5,3~5,2~4,3~4,2~3,3~5,2~3,1~2,3~4
